Trait	PC	Delta	Trait_long	Label	stars
CORV	PC4	-0.0174281874539023	Mean corpuscular volume	Mean corpuscular volume	""
CORV	PC5	0.0169219099473533	Mean corpuscular volume	Mean corpuscular volume	""
CORV	PC6	-0.00276274269089358	Mean corpuscular volume	Mean corpuscular volume	""
CORV	PC7	0.0926325002364888	Mean corpuscular volume	Mean corpuscular volume	""
CORV	PC8	-0.00691260496105321	Mean corpuscular volume	Mean corpuscular volume	""
CORV	PC9	-0.0052600735896929	Mean corpuscular volume	Mean corpuscular volume	""
CORV	PC10	-0.0211935751429522	Mean corpuscular volume	Mean corpuscular volume	""
CORV	PC11	-0.000735467826271913	Mean corpuscular volume	Mean corpuscular volume	""
CORV	PC12	-0.00960551894146409	Mean corpuscular volume	Mean corpuscular volume	""
CORV	PC13	-0.0145401462708347	Mean corpuscular volume	Mean corpuscular volume	""
CORV	PC14	-0.0626640230910195	Mean corpuscular volume	Mean corpuscular volume	""
EOBAC	PC1	0.00239447297637665	Sum of Eosinophil and Basophil Counts	Sum of Eosinophil and Basophil Counts	""
EOBAC	PC2	0.0210810294323509	Sum of Eosinophil and Basophil Counts	Sum of Eosinophil and Basophil Counts	""
EOBAC	PC3	-0.00539453528877187	Sum of Eosinophil and Basophil Counts	Sum of Eosinophil and Basophil Counts	""
EOBAC	PC4	-0.00241506569278875	Sum of Eosinophil and Basophil Counts	Sum of Eosinophil and Basophil Counts	""
EOBAC	PC5	-0.0870056216502959	Sum of Eosinophil and Basophil Counts	Sum of Eosinophil and Basophil Counts	""
EOBAC	PC6	-0.0160849838087343	Sum of Eosinophil and Basophil Counts	Sum of Eosinophil and Basophil Counts	""
EOBAC	PC7	-0.00410974287400437	Sum of Eosinophil and Basophil Counts	Sum of Eosinophil and Basophil Counts	""
EOBAC	PC8	0.0653400443974486	Sum of Eosinophil and Basophil Counts	Sum of Eosinophil and Basophil Counts	""
EOBAC	PC9	0.00939255226846402	Sum of Eosinophil and Basophil Counts	Sum of Eosinophil and Basophil Counts	""
EOBAC	PC10	-0.0105129120117424	Sum of Eosinophil and Basophil Counts	Sum of Eosinophil and Basophil Counts	""
EOBAC	PC11	0.0145547144019216	Sum of Eosinophil and Basophil Counts	Sum of Eosinophil and Basophil Counts	""
EOBAC	PC12	-0.00464466317455156	Sum of Eosinophil and Basophil Counts	Sum of Eosinophil and Basophil Counts	""
EOBAC	PC13	-0.0174440215854677	Sum of Eosinophil and Basophil Counts	Sum of Eosinophil and Basophil Counts	""
EOBAC	PC14	-0.00470934354038902	Sum of Eosinophil and Basophil Counts	Sum of Eosinophil and Basophil Counts	""
EOPG	PC1	0.00284137667618736	Eosinophil percentage of granulocytes	Eosinophil percentage of granulocytes	""
EOPG	PC2	-0.029322977467849	Eosinophil percentage of granulocytes	Eosinophil percentage of granulocytes	""
EOPG	PC3	-0.00227851238694489	Eosinophil percentage of granulocytes	Eosinophil percentage of granulocytes	""
EOPG	PC4	-0.000983190043475426	Eosinophil percentage of granulocytes	Eosinophil percentage of granulocytes	""
EOPG	PC5	-0.0890351024631499	Eosinophil percentage of granulocytes	Eosinophil percentage of granulocytes	""
EOPG	PC6	-0.00238854830895516	Eosinophil percentage of granulocytes	Eosinophil percentage of granulocytes	""
EOPG	PC7	-0.00512270914413357	Eosinophil percentage of granulocytes	Eosinophil percentage of granulocytes	""
EOPG	PC8	0.0550450528790343	Eosinophil percentage of granulocytes	Eosinophil percentage of granulocytes	""
EOPG	PC9	0.00557314459708948	Eosinophil percentage of granulocytes	Eosinophil percentage of granulocytes	""
EOPG	PC10	-0.0102338912375026	Eosinophil percentage of granulocytes	Eosinophil percentage of granulocytes	""
EOPG	PC11	0.0148341658865325	Eosinophil percentage of granulocytes	Eosinophil percentage of granulocytes	""
EOPG	PC12	-0.00142891588982177	Eosinophil percentage of granulocytes	Eosinophil percentage of granulocytes	""
EOPG	PC13	-0.00915679106335023	Eosinophil percentage of granulocytes	Eosinophil percentage of granulocytes	""
EOPG	PC14	-0.0071265889834089	Eosinophil percentage of granulocytes	Eosinophil percentage of granulocytes	""
EOPL	PC1	0.00264105955906079	Eosinophil percentage of leucocytes	Eosinophil percentage of leucocytes	""
EOPL	PC2	-0.0171683817803047	Eosinophil percentage of leucocytes	Eosinophil percentage of leucocytes	""
EOPL	PC3	-0.00244619641960658	Eosinophil percentage of leucocytes	Eosinophil percentage of leucocytes	""
EOPL	PC4	0.00084391250594997	Eosinophil percentage of leucocytes	Eosinophil percentage of leucocytes	""
EOPL	PC5	-0.0955093290466257	Eosinophil percentage of leucocytes	Eosinophil percentage of leucocytes	""
EOPL	PC6	-0.000738298450481466	Eosinophil percentage of leucocytes	Eosinophil percentage of leucocytes	""
EOPL	PC7	-0.00441100949680657	Eosinophil percentage of leucocytes	Eosinophil percentage of leucocytes	""
EOPL	PC8	0.0524277420487396	Eosinophil percentage of leucocytes	Eosinophil percentage of leucocytes	""
EOPL	PC9	-0.00309510265852724	Eosinophil percentage of leucocytes	Eosinophil percentage of leucocytes	""
EOPL	PC10	-0.00898831137796862	Eosinophil percentage of leucocytes	Eosinophil percentage of leucocytes	""
EOPL	PC11	0.0130008528924764	Eosinophil percentage of leucocytes	Eosinophil percentage of leucocytes	""
EOPL	PC12	-0.00156748576037764	Eosinophil percentage of leucocytes	Eosinophil percentage of leucocytes	""
EOPL	PC13	-0.00945967178286698	Eosinophil percentage of leucocytes	Eosinophil percentage of leucocytes	""
EOPL	PC14	-0.00521103178357083	Eosinophil percentage of leucocytes	Eosinophil percentage of leucocytes	""
EOSC	PC1	0.00275626961525532	Eosinophil count	Eosinophil count	""
EOSC	PC2	0.0125445000356039	Eosinophil count	Eosinophil count	""
EOSC	PC3	-0.0058079749186774	Eosinophil count	Eosinophil count	""
EOSC	PC4	-0.00139990735727422	Eosinophil count	Eosinophil count	""
EOSC	PC5	-0.0924727957501572	Eosinophil count	Eosinophil count	""
EOSC	PC6	-0.0109582736120145	Eosinophil count	Eosinophil count	""
